district,year,total_exp_lakh,total_wages_lakh,person_days,avg_wage_daily,avg_days_per_hh,total_hh_worked,total_individuals,hh_100days,active_jobcards,total_jobcards,sc_persondays,st_persondays,women_persondays,works_completed,works_ongoing,pct_agri_works,pct_nrm_works,pct_timely_payment,labour_budget,log_wage,log_exp_lakh,log_person_days,exp_per_hh,log_exp_per_hh,sc_share,st_share,women_share,budget_utilisation,high_spend,time,district_id
howrah,2020,155879.754568517,109298.21056800001,8810032,192.44813495105657,29.416666666666668,188630,237258,14850,258608,378762,9973803,166222,22788423,160139,31482,48.182500000000005,53.38333333333333,103.62666666666667,8814069,5.259826688599692,11.95684660014222,15.99140174364882,82637.83839713567,11.322235047512926,1.1320961149743838,0.01886735485183255,2.5866447477148777,0.9995419822558684,0,2,10
howrah,2021,180294.21929031803,98353.3475489,8405785,184.30299525075932,31.083333333333332,161115,197470,20096,246654,470402,8816346,161425,21681807,123904,36379,40.740833333333335,53.4175,100.79666666666667,4960589,5.216581116582561,12.102350893533815,15.944430836216952,111904.05566850885,11.625406073516318,1.0488426720407433,0.0192040362678798,2.5793910979164942,1.6945134942644915,0,3,10
howrah,2022,35695.004608,32155.612718,1366956,212.55762216019184,18.916666666666668,66618,74208,126,232722,409678,2098344,55568,7656826,126099,31152,45.7075,47.79916666666667,101.1125,0,5.359213114713186,10.4827940457624,14.128097659468843,53581.621495691856,10.888980068659691,1.5350486774994951,0.04065090610085475,5.601369758792528,,0,4,10
howrah,2023,3422.6061,1.68588,0,,0.0,0,0,0,214512,404798,0,0,0,738,18346,0.295,0.0,0.0,0,,8.138449689756072,0.0,,,0.0,0.0,0.0,,0,5,10
howrah,2024,29932.026120000002,0.0,0,,0.0,0,0,0,161738,406511,0,0,0,0,18268,0.0,0.0,0.0,0,,10.306717702317844,0.0,,,0.0,0.0,0.0,,0,6,10
jalpaiguri,2018,236659.0349555646,178757.7699456,17374067,144.33191007479638,42.583333333333336,235144,370581,42337,348614,433439,42268393,15643725,51543378,186156,28306,55.73,65.61333333333333,119.15833333333335,13452530,4.97211557837211,12.374379938642269,16.67048930768867,100644.30092010199,11.519357742646724,2.4328439046539883,0.9004066232736411,2.9666846570811543,1.2915092551363945,1,0,11
jalpaiguri,2019,145718.04163543103,102966.3736451,12933248,167.2387446238511,28.666666666666668,287623,392280,9806,363074,437124,22510959,8568037,27456207,86808,34825,45.81666666666666,55.7575,103.89083333333333,12621000,5.119422400025433,11.889435674347038,16.375311995285575,50662.861327303806,10.832968141087353,1.7405495510485842,0.6624814586405519,2.1229166099652614,1.0247403533792885,0,1,11
jalpaiguri,2020,294827.585397408,238860.3555082,16936713,182.56456870090565,35.166666666666664,324649,468414,16467,376612,450527,46866292,17932749,63076594,139249,37738,49.31833333333333,71.97833333333334,100.3875,16940750,5.207103911550548,12.594149399987957,16.64499424962335,90814.25952256375,11.416582606885388,2.7671421249211696,1.0588092860757574,3.724252397735027,0.9997616988622109,0,2,11
jalpaiguri,2021,271588.8980591679,204419.3895728999,14904298,169.80514060075012,32.666666666666664,302961,439743,10713,368086,457081,39861859,13263938,54939143,119042,43094,57.83166666666667,74.61333333333333,99.81083333333333,11219281,5.134651547863921,12.512048479789271,16.517160252790724,89644.83813400666,11.403622054464394,2.6745210676812823,0.8899404722047292,3.686127518384294,1.3284539356844702,0,3,11
jalpaiguri,2022,33762.867709,30190.514019000002,1209944,216.59100147169457,13.833333333333334,81115,90426,12,356564,412120,4913445,1904587,7721587,14463,32784,44.0925,50.2925,101.93416666666667,0,5.378010789251885,10.42714650698789,14.00608546199438,41623.45769463108,10.636443198840665,4.060886288952216,1.5741116944255271,6.381772214251238,,0,4,11
