fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2018-2019,Oct,32,WEST BENGAL,3202,PASCHIM BARDHAMAN,1552242,152.58241643952,37,708,691.761872553,4639,0,6982,1883145,1049288,126323,277294,31284,228.82925,3793.939268613,50567,76581,91564,238240,1122,133793,330978,11621,2873.34814606,955344,60,43.23,63.73,121.34,NA
2018-2019,Oct,32,WEST BENGAL,3211,PURBA MEDINIPUR,8141913,133.754807129884,45,3625,18105.5996190078,63505,0,259291,14280569,2200719,243102,69540,8424,777.4286,37983.9757420078,312723,497056,579150,1625652,11731,784307,2122474,322796,19100.947523,7708609,73,62.38,54.54,164.65,NA
2018-2019,Oct,32,WEST BENGAL,3216,24 PARGANAS SOUTH,13530302,111.192493675102,78,2457,14334.693775731,37194,0,241241,24027060,5346865,345684,253655,14686,903.99124,41954.972186544,307299,496815,705224,1598735,69378,1043448,2262506,278435,26716.287170813,10266237,75,58.02,53.99,189,NA
2018-2019,Oct,32,WEST BENGAL,3218,DINAJPUR UTTAR,2826087,123.060120260827,39,830,4675.40674221699,20217,0,54629,2752933,761040,175346,108284,23844,257.90739,8321.07679271699,70387,100308,246813,607228,1011,467546,1093475,74846,3387.7626605,1377070,76,62.76,47.29,174.42,NA
2018-2019,Oct,32,WEST BENGAL,3219,Darjeeling Gorkha Hill Council (DGHC),1656436,177.848571874333,49,257,4281.123811283,2233,0,4938,3666274,263557,17797,1227250,78144,268.60817,11070.147931283,74757,92803,98642,234322,2463,122875,274759,7171,6520.41595,1833769,5,20.86,40.99,119.6,NA
2018-2019,March,32,WEST BENGAL,3203,BIRBHUM,17163475,170.981914635353,70,5279,7108.54846121401,75843,0,102736,18378528,7233527,512496,1479624,108170,1012.52593,39545.0334474084,261044,478855,557676,1380169,51199,694027,1657925,178579,31423.9590561944,8244390,70,56.99,59.53,116.07,NA
2018-2019,March,32,WEST BENGAL,3206,HOOGHLY,25843659,182.703907788945,78,4489,15866.2898402962,53661,0,44191,32869096,15025893,588464,3286112,120817,1203.45625,77122.868937196,418824,641788,585745,1308077,128287,740056,1590064,97852,60053.1228468998,14422471,63,36.05,69.35,106.43,NA
2018-2019,March,32,WEST BENGAL,3209,MALDAH,10590403,148.679722196548,78,15615,14260.4824423,32483,0,78274,11814720,2844018,223299,900455,72135,794.90297,32621.4782866,150234,250057,381827,899471,41516,694563,1491842,110757,17566.0928743,5514310,71,61.89,72.94,125.27,NA
2018-2019,June,32,WEST BENGAL,3213,BANKURA,3075987,122.791363633209,30,1746,4065.0229337868,18789,0,43966,5042199,2518844,575081,572380,176078,284.78478,10541.1926229868,163795,291697,427587,1256987,2191,606543,1692345,62755,6191.38490920003,2396263,79,85.02,76.71,101.31,NA
2018-2019,June,32,WEST BENGAL,3218,DINAJPUR UTTAR,1695652,113.478610528894,21,303,4202.23041192299,3335,0,55871,506207,146136,175153,17032,23768,115.39601,4892.06309192299,23342,31067,245847,605853,20,462771,1085311,59206,574.43667,245186,74,45.74,33.96,108.02,NA
2018-2019,June,32,WEST BENGAL,3220,ALIPURDUAR,2837244,121.432187535706,18,171,4350.64341330517,6734,0,37253,1619105,458870,182285,334561,153554,88.38495,6405.14298330517,89478,107566,257827,677964,28,306878,786662,43987,1966.11462,832293,60,62.63,61.6,119.2,NA
2018-2019,June,32,WEST BENGAL,3221,KALIMPONG,740834,822.628722068792,17,13,2138.005681001,835,0,458,39830,1936,7913,11382,39613,0,2465.658701001,2252,2955,44918,117102,0,51768,131178,1293,327.65302,19993,2,16.38,32.68,118.16,NA
2018-2019,July,32,WEST BENGAL,3207,JALPAIGURI,3697950,142.712876758052,27,691,4437.8653251923,15038,0,20788,5021326,2000925,344297,753894,133253,160.69616,11764.6402711923,182110,236227,347914,872817,313,428381,1044052,35826,7166.078786,2395544,44,61.38,70.35,103.13,NA
